refdes	footprint	value	mfg	mfg_PN	vendor	vendor_PN	price	documentation	source	comment	
S207	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R337	unknown	56	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
K201	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R331	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R332	unknown	180	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R334	unknown	2k2	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
Q306	unknown	BC107	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
Q307	unknown	BC140	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
Q305	unknown	BC177	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R333	unknown	2k2	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
S304	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R309	unknown	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
S305	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R319	unknown	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
S306	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R328	unknown	5k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R330	unknown	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R329	unknown	100k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U311	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R327	unknown	10k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C324	CAPA508____.fp	33nF	Holystone	RDCX104K050DKA	Conrad	531855	0.10	unknown	unknown	50 VDC X7R	
R324	unknown	150	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R325	unknown	150	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C323	CAPA508____.fp	47nF	Holystone	RDCX104K050DKA	Conrad	531855	0.10	unknown	unknown	50 VDC X7R	
C322	CAPA508____.fp	47nF	Holystone	RDCX104K050DKA	Conrad	531855	0.10	unknown	unknown	50 VDC X7R	
R322	unknown	1k5	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C321	CAPA508____.fp	270nF	Holystone	RDCX104K050DKA	Conrad	531855	0.10	unknown	unknown	50 VDC X7R	
R323	unknown	1k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C320	CAPA508____.fp	560nF	Holystone	RDCX104K050DKA	Conrad	531855	0.10	unknown	unknown	50 VDC X7R	
C319	CAPA508____.fp	470nF	Holystone	RDCX104K050DKA	Conrad	531855	0.10	unknown	unknown	50 VDC X7R	
R321	unknown	1k5	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R320	unknown	6k8	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R326	unknown	25k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C318	CAPA508____.fp	100nF	Holystone	RDCX104K050DKA	Conrad	531855	0.10	unknown	unknown	50 VDC X7R	
C317	CAPA508____.fp	100nF	Holystone	RDCX104K050DKA	Conrad	531855	0.10	unknown	unknown	50 VDC X7R	
R316	unknown	82k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U310	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C316	unknown	82nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C315	unknown	82nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R313	unknown	100k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R312	unknown	150k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C314	CAPA508____.fp	100nF	Holystone	RDCX104K050DKA	Conrad	531855	0.10	unknown	unknown	50 VDC X7R	
C313	CAPA508____.fp	100nF	Holystone	RDCX104K050DKA	Conrad	531855	0.10	unknown	unknown	50 VDC X7R	
U309	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R315	unknown	15k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R314	unknown	15k	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C312	unknown	82nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C310	CAPA508____.fp	100nF	Holystone	RDCX104K050DKA	Conrad	531855	0.10	unknown	unknown	50 VDC X7R	
C309	CAPA508____.fp	100nF	Holystone	RDCX104K050DKA	Conrad	531855	0.10	unknown	unknown	50 VDC X7R	
C311	unknown	82nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
U308	unknown	CA3140E	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R311	unknown	1M	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C308	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C307	unknown	1nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
R310	unknown	3k3	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C303	unknown	10uF/25V	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
C304	unknown	100nF	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	
